0,0,0
1000,0,0
2000,0,0
3000,0,0
4000,0,0
5000,0,0
0,1000,0
1000,1000,0
2000,1000,0
3000,1000,0
4000,1000,0
5000,1000,0
6000,1000,0
0,2000,0
1000,2000,0
2000,2000,0
3000,2000,0
4000,2000,0
5000,2000,0
6000,2000,0
0,3000,0
1000,3000,0
2000,3000,0
3000,3000,0
4000,3000,0
5000,3000,0
0,4000,0
1000,4000,0
2000,4000,0
3000,4000,0
4000,4000,0
5000,4000,0
6000,4000,0
0,5000,0
1000,5000,0
2000,5000,0
3000,5000,0
4000,5000,0
5000,5000,0
6000,5000,0
0,0,1000
0,0,2000
3000,0,1000
3000,0,2000
1000,5290,1000
1000,5290,2000
3000,5290,1000
3000,5290,2000
3000,2000,1040
2000,4000,1040
